name,price,old price,sale,url,image,fullDescription,productInformation,rating,brand,is_best_seller,new release,productCategory
American Eagle AE Oversized Denim Button-Up Shirt,EGP 495.00,"EGP 1,650.00",70%,https://www.jumia.com.eg/american-eagle-ae-oversized-denim-button-up-shirt-38514532.html, , , , , ,TRUE,FALSE,fashion
Glitter Women Summer Slippers - Beige,EGP 364.00 45%,EGP 364.00,45%,https://www.jumia.com.eg/glitter-women-summer-slippers-beige-39495435.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/53/459493/1.jpg?1390,Glitter Women Summer Slippers for everyday look,SKU: GL733FS0VTTLXNAFAMZ Model: 0467BEG Production Country: Egypt Color: Beige Main Material: canvas,4.3 out of 5 (3 verified ratings),Glitter,FALSE,FALSE,fashion
Women's Short Sleeve Cotton Printed T-Shirt,EGP 130.00 16%,EGP 130.00,16%,https://www.jumia.com.eg/generic-womens-short-sleeve-cotton-printed-t-shirt-40756490.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/09/465704/1.jpg?2897,women short sleeves printed t-shirt  made of high quality cotton round neck  cotton 100% trendy and beautiful designs high material of printing  size large from 40 kilo to 50 kilo size x-large from 50 kilo to 60 kilo  size 2x-large from 60 to 70 kilo  size 3x-large from 70 to 80 kilo  size 4x-large from 80 to 95 kilo  please check size chart in pictures there may be slight diffrence in graphic and color between image and product,SKU: GE810MW05MVS8NAFAMZ Production Country: Egypt Color: black Main Material: cotton Care Label: <ul><li>يفضل الغسيل اليدوى&nbsp;</li><li>يغسل بماء فاتر</li></ul> Shop Type: Jumia Mall,5 out of 5 (4 verified ratings),(4 verified ratings),FALSE,FALSE,fashion
Aerie The Happiest Textured Oversized Sweatshirt.,EGP 395.00,"EGP 1,600.00",75%,https://www.jumia.com.eg/aerie-the-happiest-textured-oversized-sweatshirt.-34391342.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/24/319343/1.jpg?2765,Got your booty covered (literally...) with the happiest sweatshirt around. Happiness is a big deal & so are these sweatshirts!,"SKU: AE164MW0EH8XBNAFAMZ Model: 129497212 Color: Paper Pink Main Material: 88% Cotton, 12% Polyester",4.8 out of 5 (5 verified ratings),Aerie,FALSE,FALSE,fashion
Mesery Bundle Of Six Solid Slip On Underwear,EGP 149.99,EGP 310.00,52%,https://www.jumia.com.eg/mesery-bundle-of-six-solid-slip-on-underwear-16546825.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/52/864561/1.jpg?4325,"This item cannot be exchanged or returned Colors, Patterns & Printings May Vary & May be Duplicate This item cannot be exchanged or returned True to size, take your usual size. Doesn't wrinkle under your clothes Moisture-wicking - keeps you cool and dry Low profile leg bands for stay-in-place comfort Machine wash Slip on Made of the finest raw materials It has the ability to absorb sweat and prevent unpleasant odors Solid Pattern Elastic Waist Best-in-class wearing comfort is delivered with high-quality fabric Ideal for daily use",SKU: CA792FA0VH2K1NAFAMZ Production Country: Egypt Color: May Vary Main Material: Cotton,4.4 out of 5 (1870 verified ratings),Mesery,FALSE,FALSE,fashion
ADIDAS Adilette Aqua Slides Women,EGP 475.00,EGP 949.00,50%,https://www.jumia.com.eg/adidas-adilette-aqua-slides-women-28955125.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/52/155982/1.jpg?4041,  Regular fit   Slip-on construction   Single-bandage synthetic upper   Synthetic outsole; Synthetic lining   Soft Cloudfoam footbed   Quick-drying materials  ,SKU: AD537FS0V1VTANAFAMZ Model: GZ5877 Color: Pink Main Material: SYNTHETICS Shop Type: Jumia Mall,3.8 out of 5 (5 verified ratings),ADIDAS,FALSE,FALSE,fashion
Desert Basic Lace-Up Knit Flat Sneakers For Women - Dark Grey,EGP 119.00,EGP 385.00,69%,https://www.jumia.com.eg/desert-basic-lace-up-knit-flat-sneakers-for-women-dark-grey-39494380.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/08/349493/1.jpg?3586,Material Features (EN) : Eyelets that provide a reliable and secure lace-up closure Stretchy textile upper that is made with consideration for the environment Lightweight PVC sole material Comfortable breathable textile linings   Size & Fit :  True to size European sizes LENGTH 8.8 in / 22.2 cm (size EU 36) LENGTH 9 in / 23 cm (size EU 37) LENGTH 9.375 in / 23.8 cm (size EU 38) LENGTH 9.75 in / 24.6 cm (size EU 39) LENGTH 10 in / 25.4 cm (size EU 40) LENGTH 10.35 in / 26.2 (size EU 41)  ,SKU: DE403FS04YYIDNAFAMZ Model: WC29 Production Country: Egypt Color: Dark Grey Main Material: Textile,4 out of 5 (3 verified ratings),Desert,FALSE,FALSE,fashion
Activ Printed Crew Neck Cotton Tee - Red,EGP 79.00,EGP 299.00,74%,https://www.jumia.com.eg/activ-printed-crew-neck-cotton-tee-red-27416526.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/62/561472/1.jpg?2142,Our Model Is wearing Size M 95% Cotton & 5% Lycra Material Regular fit Short Sleeves Printed pattern Crew Neck Slip On,SKU: AC452MW118WQONAFAMZ Model: APP/ACTIV/TSSS21-2470 Color: Red Main Material: Cotton,5 out of 5 (5 verified ratings),Activ,FALSE,FALSE,fashion
Glitter Women Summer Slippers - Beige,EGP 328.00 45%,EGP 328.00,45%,https://www.jumia.com.eg/glitter-women-summer-slippers-beige-39495457.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/75/459493/1.jpg?1389,Glitter Women Summer Slippers for everyday look,SKU: GL733FS18XCX1NAFAMZ Model: 0461BEG Production Country: Egypt Color: Beige Main Material: canvas,4.5 out of 5 (2 verified ratings),Glitter,FALSE,FALSE,fashion
Women's Short Sleeve Cotton Printed T-Shirt,EGP 130.00 16%,EGP 130.00,16%,https://www.jumia.com.eg/generic-womens-short-sleeve-cotton-printed-t-shirt-40756482.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/28/465704/1.jpg?3565,women short sleeves printed t-shirt  made of high quality cotton round neck  cotton 100% trendy and beautiful designs high material of printing  size large from 40 kilo to 50 kilo size x-large from 50 kilo to 60 kilo  size 2x-large from 60 to 70 kilo  size 3x-large from 70 to 80 kilo  size 4x-large from 80 to 95 kilo  please check size chart in pictures there may be slight diffrence in graphic and color between image and product,SKU: GE810MW0GY4A0NAFAMZ Production Country: Egypt Color: white Main Material: cotton Care Label: <ul><li>يفضل الغسيل اليدوى&nbsp;</li><li>يغسل بماء فاتر</li></ul> Shop Type: Jumia Mall,4.7 out of 5 (3 verified ratings),(3 verified ratings),FALSE,FALSE,fashion
American Eagle AE CORE OVERSIZED SHIRT SIDE SLIT,EGP 495.00,"EGP 1,400.00",65%,https://www.jumia.com.eg/american-eagle-ae-core-oversized-shirt-side-slit-26609665.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/56/690662/1.jpg?6883,AE CORE OVERSIZED SHIRT SIDE SLIT,SKU: AM423MW0XR2SMNAFAMZ Production Country: Vietnam Color: OLIVE Main Material: 100% COTTON,5 out of 5 (1 verified rating),American Eagle,FALSE,FALSE,fashion
American Eagle Oversized Oxford Button-Up Shirt,EGP 495.00,"EGP 1,400.00",65%,https://www.jumia.com.eg/american-eagle-oversized-oxford-button-up-shirt-34391367.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/76/319343/1.jpg?4912,This button up is made from soft Oxford cotton that you can dress up or down. Make it yours!,SKU: AM423MW19FSDRNAFAMZ Model: 129506844 Color: Tan Main Material: 100% Cotton,0 out of 5 (No ratings available),American Eagle,FALSE,FALSE,fashion
Izor Tie Dye V-Neck Short Sleeves Pajama Set - Black & Light Beige,EGP 239.00,EGP 899.00,73%,https://www.jumia.com.eg/izor-tie-dye-v-neck-short-sleeves-pajama-set-black-light-beige-40107088.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/88/070104/1.jpg?4485,Our Model Is wearing Size M Cotton Material Regular fit Short Sleeves Tie Dye Pattern V-Neck Slip On Shirt & Pants,SKU: IZ873SL1GFNBSNAFAMZ Model: SE23 Color: Multicolour Main Material: Cotton,4.9 out of 5 (11 verified ratings),Izor,FALSE,FALSE,fashion
Casual Solid Voile Blouse - Orange,4.4 out of 5 (56), , ,https://www.jumia.com.eg/generic-casual-solid-voile-blouse-orange-16832494.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/49/423861/1.jpg?6566,Our blouse is very comfy & practical.Dont hesitate to buy online & add to your wardrobe.,SKU: GE810MW0TFBP1NAFAMZ Model: 128 Production Country: Egypt Color: Orange Main Material: Voile,4.4 out of 5 (56 verified ratings),(56 verified ratings),FALSE,FALSE,fashion
Aerie Satin Sleep Shirt,EGP 295.00,"EGP 1,050.00",72%,https://www.jumia.com.eg/aerie-satin-sleep-shirt-34368371.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/17/386343/1.jpg?0230,Keep it co-ZZZ-y while you dream.,SKU: AE164MW0ACNDZNAFAMZ Model: 129537722 Color: Pink Tropics Main Material: 100% Rayon (viscose),0 out of 5 (No ratings available),Aerie,FALSE,FALSE,fashion
Luanda Front Logo Slide Slippers For Women - Light Pink,EGP 145.00 41%,EGP 145.00,41%,https://www.jumia.com.eg/onda-luanda-front-logo-slide-slippers-for-women-light-pink-19587675.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/57/678591/1.jpg?2313,Brand : Onda Color: Pink Material:EVA & PVC Size:38/39/40 EU Style: Slide Slipper  ,SKU: ON210FS0YC933NAFAMZ Production Country: Egypt Color: pink Main Material: eva,4.5 out of 5 (212 verified ratings),(212 verified ratings),FALSE,FALSE,fashion
Mesery Bundle OF Six Brief Smooth Cotton Hipster Panties.,EGP 159.99,EGP 499.00,68%,https://www.jumia.com.eg/mesery-bundle-of-six-brief-smooth-cotton-hipster-panties.-21339174.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/47/193312/1.jpg?2191,"This item cannot be exchanged or returned  True to size, take your usual size. It Doesn’t shrink or stretch out Doesn’t wrinkle under your clothes Moisture wicking - keeps you cool and dry Low profile leg bands for stay-in-place comfort Machine Wash Slip on Made of the finest raw materials It has the ability to absorb sweat and prevent unpleasant odors Best-in-class wearing comfort is delivered with the high-quality fabric Ideal for regular use This item cannot be exchanged or returned Colors, Patterns & Printings may vary",SKU: ME773FA0S3ILCNAFAMZ Production Country: Egypt Color: May Vary Main Material: Cotton,4.3 out of 5 (943 verified ratings),Mesery,FALSE,FALSE,fashion
Seoul Slide Slippers For Women - Pink,EGP 145.00 41%,EGP 145.00,41%,https://www.jumia.com.eg/onda-seoul-slide-slippers-for-women-pink-24955085.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/58/055942/1.jpg?6630,Brand : Onda Color: Pink Material:EVA & PVC Size:37/38/39/40 EU Style: Slide Slipper  ,SKU: ON210FS0YKC92NAFAMZ Production Country: Egypt Color: pink Main Material: eva,4.4 out of 5 (83 verified ratings),(83 verified ratings),FALSE,FALSE,fashion
Mesery Bundle OF (4) Cotton Panties,EGP 99.99,EGP 399.00,75%,https://www.jumia.com.eg/mesery-bundle-of-4-cotton-panties-22791359.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/95/319722/1.jpg?9971,"This item cannot be exchanged or returned  True to size, take your usual size. It Doesn’t shrink or stretch out Doesn’t wrinkle under your clothes Moisture wicking - keeps you cool and dry Low profile leg bands for stay-in-place comfort Machine Wash Slip on Made of the finest raw materials It has the ability to absorb sweat and prevent unpleasant odors Best-in-class wearing comfort is delivered with the high-quality fabric Ideal for regular use This item cannot be exchanged or returned Colors, Patterns & Printings may vary",SKU: ME773FA1KR162NAFAMZ Production Country: Egypt Color: May Vary Main Material: Cotton,3.9 out of 5 (471 verified ratings),Mesery,TRUE,FALSE,fashion
Aerie Real Sunnie Full Coverage Lightly Lined Bra - Strand,EGP 245.00,"EGP 1,100.00",78%,https://www.jumia.com.eg/aerie-real-sunnie-full-coverage-lightly-lined-bra-strand-21170614.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/41/607112/1.jpg?8369,Material: 64% Nylon 36% Elastane Gender: Women Item DescriptionAerie Real Sunnie Full Coverage Lightly Lined Bra Color: Strand,SKU: AM423SL0ORS94NAFAMZ Production Country: Cambodia Color: Beige Main Material: 64% Nylon 36% Elastane,4 out of 5 (7 verified ratings),Aerie,FALSE,FALSE,fashion
"Silicone Cushioned Syrup For Cracked Feet For Whitening Feet And Moisturizing Heels. ,(Color May Vary)",EGP 214.00 30%,EGP 214.00,30%,https://www.jumia.com.eg/generic-silicone-cushioned-syrup-for-cracked-feet-for-whitening-feet-and-moisturizing-heels.-color-may-vary-22604891.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/19/840622/1.jpg?2507,"Spa Moisturizing Silicone Gel socks can handle this problem! These socks help to remove calluses by moisturizing and soothing rough, cracked feet. They also whiten skin, increase skin flexibility, and make your feet look healthier. You will not repair treatment your heels one time. But with regular, continued use, even the most difficult skin will become natural and healthy look, nourish the smooth, and increase flexibility. 3-5 times per week at least 30 minutes one time. Wash your feet in warm water. Wait until your skin has dried. Repairing calloused area , then dry your skin. Apply any cream to your feet. Cover yourfeet with Spa Moisturizing Silicone Gel socks. Hand wash only using water  Do not bleach or dry clean. Neutral wash is preferred Keep out of direct sunlight. Do not remove the gel from inside the socks. Do not dry in dryer.",SKU: GE810MW0BT94ENAFAMZ Production Country: China Color: color may vary Main Material: Silicon,4.3 out of 5 (52 verified ratings),(52 verified ratings),FALSE,FALSE,fashion
Malika Bundle OF Six Printed Underwear - For Women,EGP 289.00 55%,EGP 289.00,55%,https://www.jumia.com.eg/bundle-of-six-printed-underwear-for-women-malika-mpg836203.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/31/581112/1.jpg?0498,"True to size, take your usual size. To be accurate note the table of sizes!  It Doesn’t shrink or stretch out Doesn’t wrinkle under your clothes Moisture wicking - keeps you cool and dry Non Binding plush waistband Low profile leg bands for stay-in-place comfort Machine Wash Slip on Made of the finest raw materials It has the ability to absorb sweat and prevent unpleasant odors Best-in-class wearing comfort is delivered with the high-quality fabric Resists abrasion and retains its new-like appearance for seasons to come Ideal for regular use Colors, Patterns & Printings May Vary & May be Duplicate",SKU: CO062SL0ISW54NAFAMZ Model: 15000-May vary Color: May vary Main Material: cotton,4.2 out of 5 (1224 verified ratings),Malika,FALSE,FALSE,fashion
