nmae,price,old price,sale,url,image,fullDescription,productInformation,rating,brand,is_best_seller,new release,productCategory
Me Now Make Up Set Palette Professional - 78 Colors,EGP 229.00,EGP 355.00,35%,https://www.jumia.com.eg/me-now-make-up-set-palette-professional-78-colors-27848340.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/04/384872/1.jpg?3268,Brand: Me Now All-in-one makeup palette 78 attractive colors Everything you need in one place Shine because you deserve it  ,SKU: ME795ST02LZE0NAFAMZ Model: MN-E477 Color: Multi colors Main Material: N/A,0 out of 5 (No ratings available),https://www.jumia.com.eg/menow/,FALSE,TRUE,beauty
Maybelline New York The City Kits Urban Light Eyes + Cheeks Palette,EGP 295.00,EGP 420.00,30%,https://www.jumia.com.eg/maybelline-new-york-the-city-kits-urban-light-eyes-cheeks-palette-16008356.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/65/380061/1.jpg?1551,"Create your city inspired look with this maybelline eye and cheek palette Bold matte or holographic - create luminous looks that are distinctly your own Brighten eyes and highlight cheeks 8 eyeshadows, 1 highlighter, 1 blush  ",SKU: MA033ST12XBKTNAFAMZ Production Country: Italy Color: multi colors Main Material: multi,4.6 out of 5 (55 verified ratings),https://www.jumia.com.eg/maybelline/,FALSE,FALSE,beauty
Might Cinema New Calssic Highlighter And Eyeshadow Palette Multicolour,EGP 184.00,EGP 270.00,32%,https://www.jumia.com.eg/might-cinema-new-calssic-highlighter-and-eyeshadow-palette-multicolour-43555886.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/68/855534/1.jpg?9423,"New Classic Highlighter and Eyeshadow Palette Multicolour 1110 11102 is a makeup product. It contains a combination of highlighter and eyeshadow shades in a variety of colors and finishes. The eyeshadows are highly pigmented and blendable, allowing for a range of natural to dramatic looks. The highlighter shades are designed to add a luminous glow to the high points of the face. New Classic is a cosmetic brand that produces this palette, which is identified as ""Multicolour 1110 11102"".",SKU: MI466ST14ZT9QNAFAMZ Model: N/A Color: N/A,0 out of 5 (No ratings available),https://www.jumia.com.eg/might-cinema/,FALSE,FALSE,beauty
A Foundation Brush Suitable For Blending Cosmetics,EGP 49.99,EGP 75.00,33%,https://www.jumia.com.eg/generic-a-foundation-brush-suitable-for-blending-cosmetics-35700479.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/97/400753/1.jpg?7729,"Made of premium material, safe and soft on your facial skin Convenient to store and carry, ideal for travel Perfect for foundation and powder application, and very good at blending Suitable for all skin types",SKU: GE810ST1LZMWHNAFAMZ Production Country: China Color: N/A Main Material: N/A,5 out of 5 (4 verified ratings),https://www.jumia.com.eg/catalog/productratingsreviews/sku/GE810ST1LZMWHNAFAMZ/,FALSE,FALSE,beauty
Garnier Micellar Water Face Eyes Lips Cleanser And Daily Make-up Remover - 100ml.,Official Store,EGP 75.00,19%,https://www.jumia.com.eg/garnier-micellar-water-face-eyes-lips-cleanser-and-daily-make-up-remover-100ml.-23049936.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/63/994032/1.jpg?9668,Removes Makeup 100ml 100ml,SKU: GA737HB123M40NAFAMZ Model: 3600542081337 Color: Transparent Main Material: Micellar Water Shop Type: Jumia Mall,4.4 out of 5 (794 verified ratings),https://www.jumia.com.eg/garnier/,TRUE,TRUE,beauty
Jcat Beauty FREEDOM CREATOR LIP PALETTE,EGP 749.00,EGP 950.00,21%,https://www.jumia.com.eg/freedom-creator-lip-palette-jcat-beauty-mpg817737.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/93/594222/1.jpg?4344,"The J.Cat Beauty Freedom Creator Lip Palette in 18 shades that  range from primaries and shimmer colors gives you the freedom to  mix & match and customize any lip shade you want. It has high  pigment payoff. Pick your favorite shades with spatula and place  it on the mixing metal plate, mix the lip shades with lip brush.  Wear single lip shade alone or create your own lip shade by  mixing 2 or more lip shades  18 shades. create your own custom shades. includes a spatula, lip brush and a metal plate for mixing.",SKU: JC990ST1JQ1RINAFAMZ,5 out of 5 (5 verified ratings),https://www.jumia.com.eg/jcat-beauty/,FALSE,FALSE,beauty
"8 Makeup Brushes With A Pouch, Easy To Carry.Travel Friendly",EGP 84.99,EGP 150.00,43%,https://www.jumia.com.eg/generic-8-makeup-brushes-with-a-pouch-easy-to-carry.travel-friendly-38805747.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/74/750883/1.jpg?8347,"Travel-size makeup brushes: Mini makeup brushes in a wallet, easy to carry. Suitable for travel, business trip or family use. This premium brush set contains all the basic brushes and is easy to carry when traveling. Soft synthetic fibers: These cosmetic brushes are made of high-quality natural synthetic bristles, which are super soft, plump, fluffy and comfortable to the touch. It has good powder holding power, does not shed hair easily, and does not irritate the skin. The best hand feeling: The high-end full set of eye brushes are exquisite in shape, allowing you to easily control them, creating a variety of makeup blending effects on any part of the eyelids, eyebrows, etc. Easy to clean: Put the brush in warm water or brush cleaner to clean it. Remove the liquid, powder, cream or other cosmetic extracts from the bristles and wait for it to dry before using",SKU: GE810ST18I65FNAFAMZ Model: 8411 Production Country: China Color: may vary Main Material: N/A,5 out of 5 (2 verified ratings),https://www.jumia.com.eg/catalog/productratingsreviews/sku/GE810ST18I65FNAFAMZ/,FALSE,FALSE,beauty
NIVEA Nivea - Soft Freshies Refreshing & Moisturizing Cream - Berry Blossom - 100ml,Official Store,EGP 60.00,13%,https://www.jumia.com.eg/nivea-nivea-soft-freshies-refreshing-moisturizing-cream-berry-blossom-100ml-37954530.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/03/545973/1.jpg?6964,Nivea - Soft Freshies Refreshing & Moisturizing Cream - Berry Blossom - 100ml,SKU: NI738ST024039NAFAMZ Color: N/A Main Material: N/A Shop Type: Jumia Mall,4.4 out of 5 (439 verified ratings),https://www.jumia.com.eg/nivea/,FALSE,FALSE,beauty
Make Up Brush Set With PU Bag - 24 Pcs,EGP 135.00,EGP 199.00,32%,https://www.jumia.com.eg/generic-make-up-brush-set-with-pu-bag-24-pcs-27340481.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/18/404372/1.jpg?3310,"Color: may vary Bristles material: Fibers Great for apllying cream,powder,and liquid makeup Applicable skin type: all skin types（not include Allergic skin） Packing Include: 24 pcs * Makeup Brushes set with PU bag",SKU: GE810HB0AYGWKNAFAMZ Production Country: China Size (L x W x H cm): N/A Color: black Main Material: Fiber Skin Type: Normal,3.7 out of 5 (3 verified ratings),https://www.jumia.com.eg/catalog/productratingsreviews/sku/GE810HB0AYGWKNAFAMZ/,FALSE,FALSE,beauty
Avon Color Trend On The Go Multi Palette,EGP 163.00,EGP 325.00,50%,https://www.jumia.com.eg/avon-color-trend-on-the-go-multi-palette-44346874.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/47/864344/1.jpg?5425,"Avon Color Trend On the Go Multi Palette is a multi-use powder, it is a blusher, a highlighter, a contour, and an eye shadow And you can do all of this, either by using each color separately, or by mixing and combining colors together. You will get results that you did not imagine, as it is easy to carry and use anywhere. Even if you lose cosmetics, you can use your fingers. It is shiny with shiny granules. It is suitable for all times and all seasons. The sparkle makes it more suitable for the summer seasons, but there is no objection to using it in the winter. You know the best times to use it.   Comes in four shades of shimmery beige, golden brown, peachy pink, and burgundy plum allowing you to create over 60 shades when blending and four sixty bases to make sixty-four colors. You will get more and more addicted with each use.","SKU: AV597ST0SHWD4NAFAMZ Production Country: Poland Color: mluticolor Main Material: Talc, Mica, Zinc, Stearate, Isopropyl, Isosterate, Nylon-12, Isostearyl Hydroxstearate, Phenoxtethanol, Caprylyl Glycol, Sorbic Acid. Shop Type: Jumia Mall",0 out of 5 (No ratings available),https://www.jumia.com.eg/avon/,FALSE,FALSE,beauty
